Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
20613761,Citizen: An American Lyric,Claudia Rankine,"Rankine, Claudia",,"=""1555976905""","=""9781555976903""",2,4.25,Graywolf Press,Paperback,169,2014,2014,,2023/05/15,,,read,,,,1,0
59716,To the Lighthouse,Virginia Woolf,"Woolf, Virginia",Eudora Welty,"=""""","=""""",3,3.81,Harvest Books,Paperback,209,1989,1927,2023/04/25,2023/04/06,,,read,,,,2,0
485894,The Metamorphosis,Franz Kafka,"Kafka, Franz",Stanley Corngold,"=""0553213695""","=""9780553213690""",4,3.90,Bantam Classics,Mass Market Paperback,201,1972,1915,,2023/04/06,,,read,,,,1,0
7144,Crime and Punishment,Fyodor Dostoevsky,"Dostoevsky, Fyodor","David McDuff, Joseph Frank","=""""","=""""",4,4.29,Penguin,Paperback,671,2002,1866,,2023/04/06,,,read,,,,1,0
87262,The Posthumous Memoirs of Brás Cubas,Machado de Assis,"Assis, Machado de","Enylton de Sá Rego, Gilberto Pinheiro Passos, Gregory Rabassa","=""0195101707""","=""9780195101706""",3,4.26,Oxford University Press,Paperback,240,1998,1881,,2023/04/06,,,read,,,,1,0
3836,Don Quixote,Miguel de Cervantes Saavedra,"Saavedra, Miguel de Cervantes","Roberto González Echevarría, John Rutherford","=""""","=""""",1,3.91,Penguin Books,Paperback,1023,2003,1615,,2023/02/23,,,read,,,,1,0
119079,The Lais of Marie de France,Marie de France,"France, Marie de","Keith Busby, Glyn S. Burgess","=""0140447598""","=""9780140447590""",5,3.83,Penguin Classics,Paperback,164,1999,1160,2023/01/01,2023/01/26,,,read,,,,1,0
55271741,The Translator of Desires: Poems (The Lockert Library of Poetry in Translation),Ibn ʿArabi,"ʿArabi, Ibn",Michael Sells,"=""0691181349""","=""9780691181349""",4,3.89,Princeton University Press,Paperback,368,2021,,2023/01/01,2023/01/26,,,read,,,,1,0
27037,Confessions,Augustine of Hippo,"Hippo, Augustine of","Henry Chadwick, Albert Cook Outler, Temple Scott","=""0192833723""","=""9780192833723""",3,3.99,Oxford University Press,Paperback,341,1998,400,2023/01/01,2023/01/26,,,read,,,,1,0
80081,The Golden Ass,Apuleius,"Apuleius, Apuleius","Jack Lindsay, Claudio Annaratone","=""0253200369""","=""9780253200365""",3,3.85,Indiana University Press,Paperback,256,2005,159,2023/01/01,2023/01/26,,,read,,,,1,0
81779,The Symposium,Plato,"Plato, Plato",Christopher Gill,"=""0140449272""","=""9780140449273""",5,4.09,Penguin Books,Paperback,90,2003,-380,2023/01/01,2023/01/26,,,read,,,,1,0
23719576,"Father Comes Home From the Wars (Parts 1, 2 & 3)",Suzan-Lori Parks,"Parks, Suzan-Lori",,"=""1559365005""","=""9781559365000""",2,4.04,Theatre Communications Group,Paperback,192,2015,2015,2023/01/01,2023/01/26,,,read,,,,1,0
64458531,Dissertations on the Eumenides of Eschylus,Carl Otfried Muller,"Muller, Carl Otfried",,"=""0554496747""","=""9780554496740""",4,4.00,Bibliobazaar,Paperback,228,2008,,2023/01/01,2023/01/26,,,read,,,,1,0
